Date,BTC
2017-02-02,985.00
2017-02-03,1010.60
2017-02-04,1020.50
2017-02-05,1040.00
2017-02-06,1033.00
2017-02-07,1026.30
2017-02-08,1056.40
2017-02-09,1070.00
2017-02-10,1078.00
2017-02-11,1002.00
2017-02-12,1009.00
2017-02-13,1005.80
2017-02-14,1004.80
2017-02-15,1019.00
2017-02-16,1018.20
2017-02-17,1045.80
2017-02-18,1067.40
2017-02-19,1071.10
2017-02-20,1066.00
2017-02-21,1110.00
2017-02-22,1134.00
2017-02-23,1140.00
2017-02-24,1197.00
2017-02-25,1222.40
2017-02-26,1189.90
2017-02-27,1186.10
2017-02-28,1204.00
2017-03-01,1216.00
2017-03-02,1236.40
2017-03-03,1285.90
2017-03-04,1294.90
2017-03-05,1291.90
2017-03-06,1279.90
2017-03-07,1287.80
2017-03-08,1282.00
2017-03-09,1243.60
2017-03-10,1207.60
2017-03-11,1339.90
2017-03-12,1196.60
2017-03-13,1232.70
2017-03-14,1258.80
2017-03-15,1263.90
2017-03-16,1259.70
2017-03-17,1169.80
2017-03-18,1097.90
2017-03-19,1059.00
2017-03-20,1059.00
2017-03-21,1122.30
2017-03-22,1116.60
2017-03-23,1055.00
2017-03-24,1034.60
2017-03-25,965.00
2017-03-26,1006.00
2017-03-27,1042.50
2017-03-28,1068.90
2017-03-29,1059.00
2017-03-30,1053.50
2017-03-31,1089.40
2017-04-01,1106.90
2017-04-02,1118.20
2017-04-03,1159.90
2017-04-04,1165.60
2017-04-05,1146.70
2017-04-06,1206.40
2017-04-07,1209.00
2017-04-08,1202.90
2017-04-09,1226.90
2017-04-10,1229.90
2017-04-11,1244.70
2017-04-12,1244.30
2017-04-13,1235.30
2017-04-14,1219.20
2017-04-15,1215.00
2017-04-16,1217.60
2017-04-17,1247.00
2017-04-18,1274.80
2017-04-19,1272.00
2017-04-20,1326.90
2017-04-21,1333.10
2017-04-22,1354.90
2017-04-23,1359.00
2017-04-24,1359.60
2017-04-25,1378.50
2017-04-26,1411.70
2017-04-27,1449.70
2017-04-28,1447.00
2017-04-29,1439.50
2017-04-30,1443.70
